삼성전자,00126380,005930
SK하이닉스,00164779,000660
NAVER,00266961,035420
삼성바이오로직스,00877059,207940
카카오,00258801,035720
LG화학,00356361,051910
삼성SDI,00126362,006400
현대자동차,00164742,005380
기아,00106641,000270
카카오뱅크,01133217,323410
셀트리온,00413046,068270
카카오페이,01244601,377300
크래프톤,00760971,259960
포스코,00155319,005490
KB금융,00688996,105560
SK바이오사이언스,01319899,302440
현대모비스,00164788,012330
삼성물산,00149655,028260
LG전자,00401731,066570
SK,00181712,034730
SK이노베이션,00631518,096770
신한지주,00382199,055550
LG생활건강,00356370,051900
엔씨소프트,00261443,036570
하이브,01204056,352820
한국전력공사,00159193,015760
삼성전기,00126371,009150
LG,00120021,003550
포스코케미칼,00155276,003670
삼성생명,00126256,032830
SK텔레콤,00159023,017670
하나금융지주,00547583,086790
HMM,00164645,011200
케이티앤지,00244455,033780
삼성에스디에스,00126186,018260
SK아이이테크놀로지,01386916,361610
넷마블,00904672,251270
두산중공업,00159616,034020
삼성화재해상보험,00139214,000810
현대중공업,01390344,329180
고려아연,00102858,010130
대한항공,00113526,003490
아모레퍼시픽,00583424,090430
우리금융지주,01350869,316140
S-Oil,00138279,010950
케이티,00190321,030200
기업은행,00149646,024110
SKC,00139889,011790
에스케이바이오팜,00878696,326030
LG이노텍,00105961,011070
LG디스플레이,00105873,034220
한온시스템,00161125,018880
롯데케미칼,00165413,011170
F&F,01568413,383220
한화솔루션,00162461,009830
한국조선해양,00164830,009540
에스디바이오센서,00854997,137310
일진머티리얼즈,00113997,020150
LG유플러스,00231363,032640
맥쿼리인프라,00435297,088980
현대글로비스,00360595,086280
미래에셋증권,00111722,006800
CJ제일제당,00635134,097950
코웨이,00170558,021240
현대제철,00145880,004020
현대건설,00164478,000720
한국타이어앤테크놀로지,00937324,161390
금호석유화학,00106368,011780
강원랜드,00255619,035250
메리츠금융지주,00860332,138040
삼성중공업,00126478,010140
한국금융지주,00432102,071050
현대중공업지주,01205709,267250
삼성엔지니어링,00126308,028050
유한양행,00145109,000100
이마트,00872984,139480
삼성증권,00104856,016360
오리온,01238169,271560
DB손해보험,00159102,005830
쌍용씨앤이,00138224,003410
메리츠화재,00117744,000060
삼성카드,00126292,029780
NH투자증권,00120182,005940
두산밥캣,01032486,241560
한진칼,00983040,180640
GS,00500254,078930
아모레퍼시픽그룹,00154462,002790
메리츠증권,00163682,008560
한솔케미칼,00140955,014680
한미사이언스,00161426,008930
한국가스공사,00261285,036460
두산퓨얼셀,01412725,336260
한전기술,00159209,052690
동서,00144395,026960
GS건설,00120030,006360
현대오토에버,00362441,307950
한미약품,00828497,128940
롯데지주,00120562,004990
솔루스첨단소재,01412822,336370
DB하이텍,00160843,000990
GS리테일,00140177,007070
CJ대한통운,00113410,000120
에스원,00158501,012750
호텔신라,00165680,008770
팬오션,00122737,028670
현대미포조선,00164609,010620
효성첨단소재,01316254,298050
한화시스템,00339391,272210
한국항공우주,00309503,047810
BNK금융지주,00858364,138930
OCI,00148896,010060
만도,01042775,204320
키움증권,00296290,039490
녹십자,00129679,006280
BGF리테일,01263022,282330
제일기획,00148276,030000
대우조선해양,00111704,042660
SK케미칼,01267170,285130
케이씨씨,00105271,002380
한화생명,00113058,088350
씨에스윈드,00670340,112610
롯데쇼핑,00120526,023530
CJ,00148540,001040
포스코인터내셔널,00124504,047050
더존비즈온,00172291,012510
한화,00160588,000880
대우건설,00124540,047040
후성,00595191,093370
효성티앤씨,01316227,298020
신세계,00136378,004170
DL이앤씨,01524093,375500
휠라홀딩스,00195229,081660
일진하이솔루스,00972503,271940
현대로템,00302926,064350
한화에어로스페이스,00126566,012450
현대해상,00164973,001450
하이트진로,00150244,000080
한샘,00161693,009240
롯데정밀화학,00157681,004000
현대위아,00106623,011210
코오롱인더,00795135,120110
효성,00117188,004800
대웅,00111810,003090
두산,00117212,000150
엔에이치엔,00983271,181710
신풍제약,00137359,019170
한전KPS,00159218,051600
영원무역,00776820,111770
농심,00108241,004370
한미반도체,00161383,042700
현대엘리베이터,00164724,017800
오뚜기,00141529,007310
LS,00105952,006260
JB금융지주,00980122,175330
엘에스일렉트릭,00105855,010120
현대백화점,00428251,069960
프레스티지바이오파마,01510489,950210
대한전선,00113207,001440
대웅제약,00427483,069620
케이카,01323032,381970
DGB금융지주,00878915,139130
동원시스템즈,00132637,014820
에스엘,00125521,005850
한국앤컴퍼니,00160047,000240
명신산업,00173078,009900
HDC현대산업개발,01310269,294870
F&F 홀딩스,00126487,007700
동국제강,00114792,001230
PI첨단소재,00767460,178920
아시아나항공,00138792,020560
롯데렌탈,00545716,089860
진원생명과학,00118521,011000
한일시멘트,01319808,300720
롯데리츠,01363818,330590
코스모신소재,00129989,005070
지누스,00150633,013890
아이에스동서,00115977,010780
종근당,00992871,185750
롯데칠성음료,00120571,005300
SK네트웍스,00131780,001740
LIG넥스원,00503668,079550
DL,00109693,000210
영풍,00141307,000670
녹십자홀딩스,00108135,005250
솔루엠,01159233,248070
금호타이어,00481454,073240
코리안리,00113191,003690
한화투자증권,00148610,003530
대한유화,00260383,006650
롯데관광개발,00231372,032350
동양생명,00117267,082640
SK가스,00144164,018670
미원에스씨,01234297,268280
세방전지,00133858,004490
이노션,00565154,214320
코스맥스,01009789,192820
더블유게임즈,01010110,192080
태광산업,00153393,003240
미원상사,00121932,002840
한올바이오파마,00162586,009420
신세계인터내셔날,00234412,031430
보령제약,00123143,003850
대덕전자,01478712,353200
다우기술,00176914,023590
KG동부제철,00115676,016380
대신증권,00110893,003540
ESR켄달스퀘어리츠,01437186,365550
티와이홀딩스,01497869,363280
부산도시가스,00123967,015350
하나투어,00269940,039130
오리온홀딩스,00117577,001800
SK리츠,01535150,395400
화승엔터프라이즈,01128613,241590
LX인터내셔널,00120076,001120
휴켐스,00426086,069260
제이콘텐트리,00203315,036420
유니드,00159786,014830
제이알글로벌리츠,01415892,348950
한섬,00188089,020000
쿠쿠홈시스,01267684,284740
CJ CGV,00303873,079160
한국콜마,00939331,161890
부광약품,00123718,003000
케이씨씨글라스,01428203,344820
진에어,00653024,272450
SK디스커버리,00131832,006120
넥스트사이언스,00169048,003580
엠씨넥스,00564562,097520
SBS,00130772,034120
풍산,00684714,103140
한세실업,00728638,105630
유나이티드,00158963,033270
서울도시가스,00130684,017390
제주항공,00555874,089590
현대일렉트릭,01205851,267260
파미셀,00145163,005690
효성화학,01316236,298000
현대그린푸드,00105280,005440
삼양홀딩스,00126937,000070
동원산업,00118026,006040
해성디에스,01032413,195870
유안타증권,00117601,003470
경동나비엔,00101488,009450
우리종금,00104102,010050
영진약품,00141149,003520
대상,00121941,001680
현대홈쇼핑,00412597,057050
대한해운,00113535,005880
GKL,00557508,114090
이연제약,00145598,102460
